,TYPE,DESCRIPTION,Lambda,Process,Server,Dataflow,Datastore,External Entity
authenticatesDestination,bool,,,,,x,,
authenticatesSource,bool,,,x,x,,,
authenticationScheme,text,,x,x,x,x,,
authorizesSource,bool,,x,x,x,x,x,
checksDestinationRevocation,bool,,,,,x,,
checksInputBounds,bool,,x,x,x,x,,
definesConnectionTimeout,bool,,,x,,,,
disablesDTD,bool,,,,x,,,
disablesiFrames,bool,,,x,,,,
encodesHeaders,bool,,,,x,,,
encodesOutout,bool,,,x,x,,,
encryptsCookies,bool,,,x,,,,
encryptsSessionData,bool,,,x,,,,
handlesResourceConsumption,bool,,x,x,x,,x,
hasAccessControl,bool,,x,x,x,x,x,
implementsAuthenticationScheme,bool,,x,x,x,x,,
implementsCSRFToken,bool,,,x,,,,
implementsNonce,bool,,,x,x,x,,
implementsPOLP,bool,,,x,,,x,
implementsServerSideValidation,bool,,,,x,,,
implementsStrictHTTPValidation,bool,,,,x,,,
invokesScriptFilters,bool,,,,x,,,
isEncrypted,bool,,,,,x,,
isHardened,bool,,,,x,,,
isResilient,bool,,x,x,x,,x,
providesIntegrity,bool,,,,x,,,
sanitizesInput,bool,,x,x,x,x,,
usesCodeSigning,bool,,,,x,,,
usesEncryptionAlgorithm,text,,,,x,,x,
usesMFA,bool,,,x,,,,
usesParameterizedInput,bool,,,x,,,,
usesSecureFunctions,bool,,,x,,,,
usesStrongSessionIdentifiers,bool,,,x,x,,,
validatesContentType,bool,,,,x,,,
validatesHeaders,bool,,x,x,x,x,x,
validatesInput,bool,,x,x,x,x,x,
verifySessionIdentifiers,bool,,,x,,,,
removesTestAPIs,bool,,x,x,,,,
